Officer.Name,Document,Shield..,Tax..,Precinct.Command
Brian McGee,<a href='https://web.archive.org/web/20221107173833/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-narcotics-detectives-transferred-ezoo-20221104-huwjjiji3nazdf33rne7paxpte-story.html' target='_blank'>Details</a>,NA,NA,NA
Brian McMahon,<a href='https://web.archive.org/web/20150407151140/http://www.nytimes.com/2015/04/04/nyregion/teenager-falls-from-a-bronx-rooftop-after-police-are-called-about-marijuana.html?_r=0' target='_blank'>Details</a>,NA,NA,NA
Brian O’Byrne,<a href='https://web.archive.org/web/20180606085208/http://www.nydailynews.com/new-york/nyc-crime/ny-metro-cop-fired-shooting-brooklyn-oneill-20180605-story.html' target='_blank'>Details</a>,NA,NA,Housing Bureau
Brian Obyrne,<a href='https://web.archive.org/web/20220421184024/https://www.fox5ny.com/news/city-employees-cash-in-on-overtime' target='_blank'>Details</a>,NA,NA,NA
Brian Pocalyko,<a href='https://web.archive.org/web/20220224080334/https://www.nydailynews.com/news/crime/ny-bronx-cops-52nd-precinct-criticized-gun-cases-da-20190402-jkoh2knynfh3zlbqo6dhncczsu-story.html' target='_blank'>Details</a>,NA,NA,NA
Brian Quire,<a href='https://web.archive.org/web/20180223120056/http://www.nydailynews.com/new-york/nypd-fired-meth-lawyer-claims-test-bogus-article-1.3837078' target='_blank'>Details</a>,NA,NA,NA
Brian Willabus,<a href='https://web.archive.org/web/20220105235739/https://www.thecity.nyc/2020/8/11/21364522/nypd-cops-tased-unarmed-queens-man-died-video-shows' target='_blank'>Details</a>,NA,NA,NA
Brian Worthington,<a href='https://web.archive.org/web/20220731134205/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-copter-hard-landing-damaged-20220730-x6e3f6zaxfbwhbxziipeul7wce-story.html' target='_blank'>Details</a>,NA,NA,NA
Brianna Constantino,<a href='https://web.archive.org/web/20220422195246/https://www.nydailynews.com/new-york/bronx/bronx-man-sues-arresting-officer-acquittal-pipe-attack-article-1.3221466' target='_blank'>Details</a>,NA,NA,48
Bryan Conroy,<a href='https://web.archive.org/web/20220421152907/https://www.huffpost.com/entry/killed-by-the-nypd-black-men_n_5600045' target='_blank'>Details</a>,NA,NA,NA
Bryan Pocalyko,<a href='https://web.archive.org/web/20170911094234/https://www.villagevoice.com/2016/11/22/the-nypd-arrests-women-for-who-they-are-and-where-they-go-now-theyre-fighting-back/' target='_blank'>Details</a>,NA,NA,NA
Bryan Pocalyko,<a href='https://web.archive.org/web/20180215183823/http://www.nydailynews.com/new-york/bronx/nypd-gun-intel-sergeant-sidelined-bronx-da-probes-methods-article-1.3819626' target='_blank'>Details</a>,NA,NA,52
